dullness,whiteness,pixel_width,red_dominant,green_dominant,blue_dominant,average_color_r,average_color_g,average_color_b,x,y,blurrness,entropy_r,entropy_g,entropy_b,deviation_r,deviation_g,deviation_b,variation_r,variation_g,variation_b,class
0,0,0,0.396078,0.415686,0.4,97.564646,103.891919,105.79596,60,33,12.654579,3.701524,3.612685,3.741211,20.630259,20.050909,18.617927,2.662132,2.587373,2.40246,fire
0,0,5.392157,0.384314,0.439216,0.564706,89.488725,105.117157,122.141176,60,34,432.265886,5.153817,4.413107,4.185768,7.032627,13.884079,16.10453,0.8808,1.73891,2.01701,fire
0,0,1.262626,0.313725,0.380392,0.52549,78.716667,111.277778,156.882323,60,33,80.120572,5.054554,4.424174,3.662709,7.206189,13.893988,21.521712,0.929888,1.792882,2.777165,fire
0,0,3.578431,0.164706,0.223529,0.12549,72.42451,115.459804,136.323039,60,34,371.729064,5.171325,4.978836,4.608982,8.848563,9.186894,11.250403,1.108237,1.150611,1.409055,fire
0,0,0,0.164706,0.14902,0.07451,50.093627,49.017157,32.752451,60,34,58.02271,4.071115,3.861121,3.661038,17.27196,18.203399,20.238165,2.163224,2.279882,2.534726,fire
0,0,1.565657,0.223529,0.235294,0.184314,54.094444,81.446465,108.527778,60,33,215.235046,5.155516,4.449958,4.111855,7.212717,14.01399,15.594863,0.93073,1.808367,2.012363,fire
0,0,5.588235,0.211765,0.27451,0.337255,60.010294,105.712255,146.321569,60,34,389.268195,5.323313,4.992297,4.493429,5.979622,9.147538,12.669827,0.748917,1.145682,1.586831,fire
0,0,7.107843,0.180392,0.243137,0.290196,42.517647,83.877941,126.836765,60,34,354.197399,5.349807,4.840429,4.259224,5.127301,9.908552,14.455578,0.642168,1.240995,1.810487,fire
0,0,0,0.133333,0.101961,0.035294,42.086364,39.377273,26.703535,60,33,23.940092,4.126579,3.841462,3.603745,16.222465,17.476476,20.626837,2.093349,2.255167,2.66169,fire
0,0,4.264706,0.133333,0.14902,0.054902,39.090196,56.510784,70.521569,60,34,187.539731,4.949253,4.366845,3.873298,11.355874,14.163714,19.41212,1.422265,1.773932,2.431268,fire
0,0,0,0.705882,0.662745,0.666667,174.81104,164.200993,168.8066,160,107,204.706046,4.782435,4.486064,4.437541,81.080691,102.513548,106.945616,1.210051,1.529916,1.59606,fire
0,0,2.056075,0.721569,0.752941,0.92549,158.163668,157.60403,188.999942,160,107,1257.173283,5.043466,4.786287,4.71413,60.093848,78.094362,82.982398,0.896843,1.165483,1.238432,fire
0,0,4.001168,0.615686,0.690196,0.839216,141.690946,163.296379,189.310514,160,107,8019.311661,5.079566,4.977016,5.133197,67.708429,68.528912,57.977075,1.010483,1.022728,0.865252,fire
0,0,1.063084,0.584314,0.627451,0.647059,152.171787,163.57243,170.720911,160,107,9007.037264,5.089432,4.90951,4.985333,59.381518,73.139405,67.845557,0.886212,1.091535,1.012529,fire
0,0,5.776869,0.462745,0.568627,0.576471,117.04118,136.731425,142.578213,160,107,9775.474942,5.384844,5.232273,5.27625,32.786894,46.863674,44.382561,0.489313,0.699395,0.662367,fire
0,0,4.783879,0.423529,0.513725,0.556863,103.492231,123.678096,132.165362,160,107,14690.712583,5.384476,5.226254,5.191335,36.018078,48.336159,52.954216,0.537535,0.721371,0.790291,fire
0,0,2.783852,0.133333,0.129412,0.145098,49.516274,57.137721,62.834693,205,116,653.390472,4.619778,4.512805,4.300015,137.258379,146.117693,168.427455,1.474745,1.569933,1.809636,fire
0,45.57,2.006363,0.188235,0.266667,0.501961,61.625705,89.490011,141.362969,205,115,643.902644,5.1628,4.939023,4.687787,98.583038,109.839686,139.139779,1.068416,1.190413,1.507959,fire
0,0,0.445387,0.321569,0.270588,0.262745,80.48403,71.689502,74.657052,205,115,163.710061,4.311064,4.118549,4.278387,174.931639,187.164297,164.85548,1.895862,2.028436,1.786659,fire
0,0,3.776283,0.207843,0.294118,0.47451,67.016022,96.327712,137.275526,205,116,712.613396,5.203563,4.91244,4.709365,76.276045,113.356335,134.061223,0.819533,1.217935,1.440394,fire
0,11.82,3.851538,0.152941,0.305882,0.596078,70.141166,116.99614,171.253701,205,115,1561.183579,5.156498,5.224988,5.050793,117.699333,79.214896,102.149543,1.275594,0.85851,1.107069,fire
0,0,1.989396,0.211765,0.290196,0.490196,49.827402,76.652004,133.438982,205,115,1198.420739,5.005899,4.728041,4.522591,97.710154,131.486567,150.381514,1.058956,1.425016,1.629795,fire
0,0,2.484787,0.2,0.211765,0.317647,52.021509,71.633494,119.187669,204,116,404.102212,5.021007,4.438443,4.267432,91.400712,157.423433,174.428535,0.986851,1.699696,1.8833,fire
0,0,6.436488,0.14902,0.337255,0.658824,55.43636,109.349829,178.745652,204,115,1738.651652,4.950395,5.066555,4.818856,115.237231,94.321248,125.387164,1.255032,1.027239,1.365574,fire
0,0,1.385337,0.188235,0.270588,0.47451,42.538491,67.220972,126.670801,204,115,762.459642,4.90429,4.462258,4.262814,110.056615,156.015396,172.568383,1.198611,1.699142,1.879418,fire
0,0,0.089077,0.231373,0.254902,0.298039,53.393977,64.309353,86.454804,205,115,142.983818,4.352948,4.018523,4.039231,162.580742,196.306632,194.206308,1.762006,2.127519,2.104756,fire
0,0,1.610597,0.14902,0.207843,0.380392,47.578595,74.125189,132.100336,205,116,472.519799,4.910857,4.494637,4.249074,100.494833,150.480941,173.659696,1.079747,1.616813,1.865852,fire
0,0,7.113468,0.156863,0.352941,0.682353,50.281145,107.272195,164.750286,205,115,1633.138813,4.997095,5.022714,4.664351,105.768688,99.399786,137.570958,1.146293,1.077268,1.490957,fire
0,0,1.683987,0.12549,0.231373,0.333333,34.344942,61.912959,92.39983,205,115,411.271924,4.58134,4.443161,4.099348,137.093255,155.218946,188.706193,1.48578,1.682221,2.045147,fire
0,0,2.494168,0.101961,0.14902,0.25098,36.892301,64.457603,111.606151,205,115,151.812201,5.147137,4.658396,4.136882,83.092033,143.931505,186.570503,0.900529,1.559891,2.022001,fire
0,21.795,4.201009,0.384314,0.929412,0.968627,75.188225,148.037553,204.151135,205,116,323.904642,4.743647,5.104605,5.079776,174.455331,108.107806,100.309813,1.874401,1.161543,1.077759,fire
0,58.67,3.855779,0.247059,0.490196,0.839216,114.571622,171.694761,222.53175,205,115,668.723394,4.244461,4.818983,5.318343,271.735013,184.121091,67.972224,2.944991,1.995455,0.736665,fire
0,0,1.251326,0.168627,0.25098,0.419608,46.43474,70.82316,118.043309,205,115,500.347695,5.001304,4.696765,4.369227,92.818544,125.718811,163.902373,1.005942,1.362507,1.77633,fire
0,0,0,0.254902,0.356863,0.521569,64.71942,102.241594,156.910145,92,75,165.682438,4.521458,3.977199,3.588315,42.738486,63.031814,76.357658,1.58256,2.334,2.827441,fire
